,,,,
AREA_ID,AREA_NAME,PARENT_NAME,PARENT_PARENT_Name,AREA_Parent_PP_NAME
98086,Cab-ilan,DINAGAT,DINAGAT ISLANDS,Cab-ilan_DINAGAT_DINAGAT ISLANDS
98087,Cabayawan,DINAGAT,DINAGAT ISLANDS,Cabayawan_DINAGAT_DINAGAT ISLANDS
98088,Escolta (Pob.),DINAGAT,DINAGAT ISLANDS,Escolta (Pob.)_DINAGAT_DINAGAT ISLANDS
98089,Gomez,DINAGAT,DINAGAT ISLANDS,Gomez_DINAGAT_DINAGAT ISLANDS
98090,Magsaysay,DINAGAT,DINAGAT ISLANDS,Magsaysay_DINAGAT_DINAGAT ISLANDS
98091,Mauswagon (Pob.),DINAGAT,DINAGAT ISLANDS,Mauswagon (Pob.)_DINAGAT_DINAGAT ISLANDS
98092,White Beach (Pob.),DINAGAT,DINAGAT ISLANDS,White Beach (Pob.)_DINAGAT_DINAGAT ISLANDS
98093,Bagumbayan,DINAGAT,DINAGAT ISLANDS,Bagumbayan_DINAGAT_DINAGAT ISLANDS
98094,New Mabuhay,DINAGAT,DINAGAT ISLANDS,New Mabuhay_DINAGAT_DINAGAT ISLANDS
98095,Wadas,DINAGAT,DINAGAT ISLANDS,Wadas_DINAGAT_DINAGAT ISLANDS
98096,Cayetano,DINAGAT,DINAGAT ISLANDS,Cayetano_DINAGAT_DINAGAT ISLANDS
98097,Justiniana Edera,DINAGAT,DINAGAT ISLANDS,Justiniana Edera_DINAGAT_DINAGAT ISLANDS
98098,LIBJO (ALBOR),DINAGAT ISLANDS,REGION XIII (Caraga),LIBJO (ALBOR)_DINAGAT ISLANDS_REGION XIII (Caraga)
98099,Albor (Pob.),LIBJO (ALBOR),DINAGAT ISLANDS,Albor (Pob.)_LIBJO (ALBOR)_DINAGAT ISLANDS
98100,Arellano,LIBJO (ALBOR),DINAGAT ISLANDS,Arellano_LIBJO (ALBOR)_DINAGAT ISLANDS
98101,Bayanihan,LIBJO (ALBOR),DINAGAT ISLANDS,Bayanihan_LIBJO (ALBOR)_DINAGAT ISLANDS
98102,Doña Helen,LIBJO (ALBOR),DINAGAT ISLANDS,Doña Helen_LIBJO (ALBOR)_DINAGAT ISLANDS
98103,Garcia,LIBJO (ALBOR),DINAGAT ISLANDS,Garcia_LIBJO (ALBOR)_DINAGAT ISLANDS
98104,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS,General Aguinaldo (Bolod-bolod)_LIBJO (ALBOR)_DINAGAT ISLANDS
98105,Kanihaan,LIBJO (ALBOR),DINAGAT ISLANDS,Kanihaan_LIBJO (ALBOR)_DINAGAT ISLANDS
98106,Magsaysay,LIBJO (ALBOR),DINAGAT ISLANDS,Magsaysay_LIBJO (ALBOR)_DINAGAT ISLANDS
98107,Osmeña,LIBJO (ALBOR),DINAGAT ISLANDS,Osmeña_LIBJO (ALBOR)_DINAGAT ISLANDS
98108,Plaridel,LIBJO (ALBOR),DINAGAT ISLANDS,Plaridel_LIBJO (ALBOR)_DINAGAT ISLANDS
98109,Quezon,LIBJO (ALBOR),DINAGAT ISLANDS,Quezon_LIBJO (ALBOR)_DINAGAT ISLANDS
98110,San Antonio (Pob.),LIBJO (ALBOR),DINAGAT ISLANDS,San Antonio (Pob.)_LIBJO (ALBOR)_DINAGAT ISLANDS
98111,San Jose,LIBJO (ALBOR),DINAGAT ISLANDS,San Jose_LIBJO (ALBOR)_DINAGAT ISLANDS
98112,Santo Niño,LIBJO (ALBOR),DINAGAT ISLANDS,Santo Niño_LIBJO (ALBOR)_DINAGAT ISLANDS
98113,Llamera,LIBJO (ALBOR),DINAGAT ISLANDS,Llamera_LIBJO (ALBOR)_DINAGAT ISLANDS
98114,Rosita,LIBJO (ALBOR),DINAGAT ISLANDS,Rosita_LIBJO (ALBOR)_DINAGAT ISLANDS
98115,LORETO,DINAGAT ISLANDS,REGION XIII (Caraga),LORETO_DINAGAT ISLANDS_REGION XIII (Caraga)
98116,Carmen (Pob.),LORETO,DINAGAT ISLANDS,Carmen (Pob.)_LORETO_DINAGAT ISLANDS
98117,Esperanza,LORETO,DINAGAT ISLANDS,Esperanza_LORETO_DINAGAT ISLANDS
98118,Ferdinand,LORETO,DINAGAT ISLANDS,Ferdinand_LORETO_DINAGAT ISLANDS
98119,Helene,LORETO,DINAGAT ISLANDS,Helene_LORETO_DINAGAT ISLANDS
98120,Liberty,LORETO,DINAGAT ISLANDS,Liberty_LORETO_DINAGAT ISLANDS
98121,Magsaysay,LORETO,DINAGAT ISLANDS,Magsaysay_LORETO_DINAGAT ISLANDS
98122,Panamaon,LORETO,DINAGAT ISLANDS,Panamaon_LORETO_DINAGAT ISLANDS
98123,San Juan (Pob.),LORETO,DINAGAT ISLANDS,San Juan (Pob.)_LORETO_DINAGAT ISLANDS
98124,Santa Cruz (Pob.),LORETO,DINAGAT ISLANDS,Santa Cruz (Pob.)_LORETO_DINAGAT ISLANDS
98125,Santiago (Pob.),LORETO,DINAGAT ISLANDS,Santiago (Pob.)_LORETO_DINAGAT ISLANDS
98126,SAN JOSE (Capital),DINAGAT ISLANDS,REGION XIII (Caraga),SAN JOSE (Capital)_DINAGAT ISLANDS_REGION XIII (Caraga)
98127,Aurelio,SAN JOSE (Capital),DINAGAT ISLANDS,Aurelio_SAN JOSE (Capital)_DINAGAT ISLANDS
98128,Cuarinta,SAN JOSE (Capital),DINAGAT ISLANDS,Cuarinta_SAN JOSE (Capital)_DINAGAT ISLANDS
98129,Don Ruben Ecleo (Baltazar),SAN JOSE (Capital),DINAGAT ISLANDS,Don Ruben Ecleo (Baltazar)_SAN JOSE (Capital)_DINAGAT ISLANDS
98130,Jacquez,SAN JOSE (Capital),DINAGAT ISLANDS,Jacquez_SAN JOSE (Capital)_DINAGAT ISLANDS
98131,Justiniana Edera,SAN JOSE (Capital),DINAGAT ISLANDS,Justiniana Edera_SAN JOSE (Capital)_DINAGAT ISLANDS
98132,Luna,SAN JOSE (Capital),DINAGAT ISLANDS,Luna_SAN JOSE (Capital)_DINAGAT ISLANDS
98133,Mahayahay,SAN JOSE (Capital),DINAGAT ISLANDS,Mahayahay_SAN JOSE (Capital)_DINAGAT ISLANDS
98134,Matingbe,SAN JOSE (Capital),DINAGAT ISLANDS,Matingbe_SAN JOSE (Capital)_DINAGAT ISLANDS
98135,San Jose (Pob.),SAN JOSE (Capital),DINAGAT ISLANDS,San Jose (Pob.)_SAN JOSE (Capital)_DINAGAT ISLANDS
98136,San Juan,SAN JOSE (Capital),DINAGAT ISLANDS,San Juan_SAN JOSE (Capital)_DINAGAT ISLANDS
98137,Santa Cruz,SAN JOSE (Capital),DINAGAT ISLANDS,Santa Cruz_SAN JOSE (Capital)_DINAGAT ISLANDS
